,Ref_DOI_number,Ref_publication_date,Ref_journal,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_light_intensity,Perovskite_band_gap,Perovskite_composition_short_form,Cell_architecture,DOI,Citations,Journal,Publication_date
3500,10.1002/aenm.201502466,2016-04-27,Advanced Energy Materials,1.02,19.9,0.687,14.9,100.0,1.6,MAPbI,nip,10.1002/aenm.201502466,47,Advanced Energy Materials,2016-04-27
3501,10.1002/adfm.201903293,2019-05-27,Advanced Functional Materials,1.14,19.23,0.68,14.9,100.0,,BAMAPbI,pin,10.1002/adfm.201903293,39,Advanced Functional Materials,2019-05-27
3502,10.1016/j.ceramint.2019.04.221,2019-05-01,Ceramics International,0.971,21.4,0.72,14.9,100.0,,MAPbBrI,nip,10.1016/j.ceramint.2019.04.221,2,Ceramics International,2019-05-01
3503,10.1021/acsenergylett.8b01498,2018-09-11,ACS Energy Letters,1.048,28.75,0.62,14.9,100.0,,CsFAMAPbBrI,nip,10.1021/acsenergylett.8b01498,20,ACS Energy Letters,2018-09-11
3504,10.1021/acsami.6b10418,2016-10-31,ACS Applied Materials & Interfaces,1.06,19.3,0.71,14.9,100.0,1.595,MAPbI,nip,10.1021/acsami.6b10418,35,ACS Applied Materials & Interfaces,2016-10-31
3505,10.1021/nl504701y,2015-03-25,Nano Letters,0.917,21.36,0.76,14.9,100.0,1.6,MAPbI,nip,10.1021/nl504701y,345,Nano Letters,2015-03-25
3506,10.1002/admi.201801076,2018-10-08,Advanced Materials Interfaces,1.02,19.8,0.73,14.9,100.0,1.59,MAPbI,nip,10.1002/admi.201801076,18,Advanced Materials Interfaces,2018-10-08
3507,10.1021/acsaem.7b00194,2018-02-06,ACS Applied Energy Materials,1.041,20.4,0.705,14.9,100.0,1.6,MAPbI,pin,10.1021/acsaem.7b00194,24,ACS Applied Energy Materials,2018-02-06
3508,10.1016/j.solener.2019.10.080,2019-11-06,Solar Energy,0.99,24.43,0.62,14.9,100.0,1.6,MAPbI,nip,10.1016/j.solener.2019.10.080,4,Solar Energy,2019-11-06
3509,10.1021/acsami.6b06633,2016-09-01,ACS Applied Materials & Interfaces,0.997,20.888,0.715,14.9,100.0,1.65,MAPbI,pin,10.1021/acsami.6b06633,34,ACS Applied Materials & Interfaces,2016-09-01
3510,10.1039/c5ta02502h,2015-04-23,Journal of Materials Chemistry A,0.97,20.7,0.74,14.9,100.0,1.6,MAPbI,nip,10.1039/c5ta02502h,172,Journal of Materials Chemistry A,2015-04-23
3511,10.1002/adma.201804284,2019-01-25,Advanced Materials,1.08,21.2,0.647,14.9,100.0,,CsFAPbBrI,nip,10.1002/adma.201804284,101,Advanced Materials,2019-01-25
3512,10.1039/c7nr03963h,2017-07-25,Nanoscale,1.04,18.5,0.7709999999999999,14.9,100.0,1.6,MAPbI,nip,10.1039/c7nr03963h,21,Nanoscale,2017-07-25
3513,10.1021/acsami.8b10253,2018-08-20,ACS Applied Materials & Interfaces,0.99,19.4,0.77,14.9,100.0,1.6,MAPbI,pin,10.1021/acsami.8b10253,49,ACS Applied Materials & Interfaces,2018-08-20
3514,10.1016/j.nanoen.2015.11.008,2015-11-18,Nano Energy,1.03,18.6,0.777,14.9,100.0,1.6,MAPbI,nip,10.1016/j.nanoen.2015.11.008,102,Nano Energy,2015-11-18
3515,10.1021/acsami.6b12268,2016-12-29,ACS Applied Materials & Interfaces,0.98,20.45,0.75,14.9,100.0,1.6,MAPbI,pin,10.1021/acsami.6b12268,21,ACS Applied Materials & Interfaces,2016-12-29
3516,10.1002/admi.201801773,2019-01-28,Advanced Materials Interfaces,1.04,21.4,0.71,14.9,100.0,,CsFAMAPbBrI,nip,10.1002/admi.201801773,2,Advanced Materials Interfaces,2019-01-28
3517,10.1002/anie.201612021,2017-03-03,Angewandte Chemie International Edition,1.04,20.9,0.69,14.9,100.0,1.6,MAPbI,nip,10.1002/anie.201612021,27,Angewandte Chemie International Edition,2017-03-03
3518,10.1002/aenm.201901524,2019-11-04,Advanced Energy Materials,1.02,18.8,0.7290000000000001,14.9,100.0,1.6,MAPbI,nip,10.1002/aenm.201901524,16,Advanced Energy Materials,2019-11-04
3519,10.1038/ncomms6784,2014-12-15,Nature Communications,0.98,20.2,0.753,14.9,100.0,1.6,MAPbI,pin,10.1038/ncomms6784,2024,Nature Communications,2014-12-15
3520,10.1142/S1793604717500497,2017-06-22,Functional Materials Letters,1.02,22.4,0.6509999999999999,14.9,100.0,1.6,MAPbI,pin,10.1142/S1793604717500497,4,Functional Materials Letters,2017-06-22
3521,10.1002/anie.201309361,2014-02-19,Angewandte Chemie International Edition,1.003,21.2,0.7,14.9,100.0,1.53,FAMAPbI,nip,10.1002/anie.201309361,941,Angewandte Chemie International Edition,2014-02-19
3522,10.1002/aenm.201501056,2015-09-21,Advanced Energy Materials,1.02,21.9,0.665,14.9,100.0,1.6,MAPbI,nip,10.1002/aenm.201501056,61,Advanced Energy Materials,2015-09-21
3523,10.1016/j.orgel.2018.02.027,2018-02-23,Organic Electronics,1.035,21.28,0.708,14.9,100.0,1.6,MAPbI,nip,10.1016/j.orgel.2018.02.027,17,Organic Electronics,2018-02-23
3524,10.1039/c5ta02730f,2015-06-08,Journal of Materials Chemistry A,1.0,20.71,0.72,14.91,100.0,1.6,MAPbI,pin,10.1039/c5ta02730f,33,Journal of Materials Chemistry A,2015-06-08
3525,10.1016/j.jechem.2017.08.007,2017-08-23,Journal of Energy Chemistry,1.004,18.6,0.77,14.91,100.0,1.6,MAPbI,nip,10.1016/j.jechem.2017.08.007,10,Journal of Energy Chemistry,2017-08-23
